stringcode,description,en,pt_BR,zh_CN,zh_TW,nl,eo,fi,fr,de,id,it,ja,ko,pl,ru,sr,sr_Latn,es,th,tr,uk,vi
item_desc_206,아이템 - 무지개 포션 설명,Use the top 3 cards from the draw pile.\n Targets are random.,Usa as 3 cartas do topo da pilha de compra.\n Alvos aleatórios.,使用抽牌堆顶部的3张牌。\n 目标随机。,使用抽牌堆頂部的3張牌。\n 目標隨機。,Gebruik de bovenste 3 kaarten van de trekstapel.\n Doelen willekeurig.,Uzu la suprajn 3 kartojn de la prenstako.\n Celoj estas hazardaj.,Käytä nostopakan 3 ylintä korttia.\n Kohteet ovat satunnaisia.,Utilise les 3 cartes du dessus de la pile de pioche.\n Les cibles sont aléatoires.,Spiele die obersten 3 Karten des Nachziehstapels.\n Ziele sind zufällig.,Pakai 3 kartu teratas dari tumpukan tarik.\n Target acak.,Usa le 3 carte in cima alla pila di pesca.\n I bersagli sono casuali.,山札の上から3枚のカードを使用する。\n 対象はランダム。,뽑을 카드 더미 위에서부터3장의 카드를 사용합니다.\n 대상은 무작위 입니다.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.,Use the top 3 cards from the draw pile.\n Targets are random.
item_name_207,아이템 - 카드 병 이름,Card Bottle,Garrafa de Cartas,卡牌瓶,卡牌瓶,Kaartenfles,Karta Botelo,Korttipullo,Bouteille de Cartes,Kartenflasche,Botol Kartu,Bottiglia di Carte,カードボトル,카드 병,Card Bottle,Card Bottle,Card Bottle,Card Bottle,Card Bottle,Card Bottle,Card Bottle,Card Bottle,Card Bottle
item_desc_207,아이템 - 카드 병 설명,Draw 2 cards.,Compre 2 cartas.,抽2张牌。,抽2張牌。,Trek 2 kaarten.,Prenu 2 kartojn.,Nosta 2 korttia.,Pioche 2 cartes.,Ziehe 2 Karten.,Tarik 2 kartu.,Pesca 2 carte.,カードを2枚引く。,카드를 두장 뽑습니다.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.,Draw 2 cards.
item_name_209,아이템 - 강화 포션 이름,Upgrade Potion,Poção de Aprimoramento,强化药水,強化藥水,Verbeterdrankje,Plibonigo Pocio,Parannusjuoma,Potion d'Amélioration,Verbesserungstrank,Ramuan Peningkatan,Pozione di Potenziamento,強化ポーション,강화 포션,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion,Upgrade Potion
item_desc_209,아이템 - 강화 포션 설명,Upgrade all cards in your hand.,Aprimora todas as cartas da sua mão.,强化手中所有牌。,強化手中所有牌。,Verbeter alle kaarten in je hand.,Plibonigu ĉiujn kartojn en via mano.,Paranna kaikki kortit kädessäsi.,Améliore toutes les cartes en main.,Verbessere alle Karten auf deiner Hand.,Tingkatkan semua kartu di tangan.,Potenzia tutte le carte in mano.,手札のすべてのカードを強化する。,손에 있는 모든 카드를 강화합니다.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.,Upgrade all cards in your hand.
item_name_270,아이템 - 최후의 포션 이름,Last Potion,Última Poção,最后药水,最後藥水,Laatste Drankje,Lasta Pocio,Viimeinen Juoma,Dernière Potion,Letzter Trank,Ramuan Terakhir,Pozione Finale,最後のポーション,최후의 포션,Last Potion,Last Potion,Last Potion,Last Potion,Last Potion,Last Potion,Last Potion,Last Potion,Last Potion
item_desc_270,아이템 - 최후의 포션 설명,Double your damage this turn. Damage taken is doubled.,Dobra seu dano neste turno. O dano recebido também dobra.,本回合伤害翻倍。 受到的伤害也翻倍。,本回合傷害翻倍。 受到的傷害也翻倍。,Dubbelt je schade deze beurt. Ontvangen schade verdubbelt.,Duobligu vian damaĝon ĉi-vice. Ricevita damaĝo duobligas.,Tuplaa vahinkosi tällä vuorolla. Otettu vahinko kaksinkertaistuu.,Double tes dégâts ce tour. Les dégâts subis sont doublés.,Verdoppelt deinen Schaden in diesem Zug. Erlittener Schaden verdoppelt sich.,Gandakan kerusakanmu giliran ini. Kerusakan diterima juga digandakan.,Raddoppia i tuoi danni in questo turno. Anche i danni subiti raddoppiano.,このターンのダメージが2倍になる。 受けるダメージも2倍になる。,이번턴의 데미지를 두배 증가시킵니다. 받는피해가 두배가 됩니다.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.,Double your damage this turn. Damage taken is doubled.
item_name_280,아이템 - 공중 포격 이름,Air Strike,Ataque Aéreo,空中轰炸,空中轟炸,Luchtaanval,Aera Atako,Ilmaisku,Frappe Aérienne,Luftschlag,Serangan Udara,Attacco Aereo,空爆,공중 포격,Air Strike,Air Strike,Air Strike,Air Strike,Air Strike,Air Strike,Air Strike,Air Strike,Air Strike
item_desc_280,아이템 - 공중 포격 설명,Deal 10 damage to all tiles.,Causa 10 de dano em todos os ladrilhos.,对所有格子造成10点伤害。,對所有格子造成10點傷害。,Doe 10 schade aan alle vakken.,Faru 10 damaĝon al ĉiuj kestoj.,Aiheuta 10 vahinkoa kaikkiin ruutuihin.,Inflige 10 dégâts à toutes les cases.,Füge allen Feldern 10 Schaden zu.,Berikan 10 kerusakan ke semua ubin.,Infligge 10 danni a tutte le caselle.,すべてのタイルに10ダメージを与える。,모든 타일에 10 대미지를 줍니다.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.,Deal 10 damage to all tiles.
item_name_290,아이템 - 임플란트 이름,Implant,Implante,植入物,植入物,Implantaat,Enplanto,Implantti,Implant,Implantat,Implan,Impianto,インプラント,임플란트,Implant,Implant,Implant,Implant,Implant,Implant,Implant,Implant,Implant
item_desc_290,아이템 - 임플란트 설명,Increase max HP of all allied units except yourself by 10.,Aumenta o HP máximo de todas as unidades aliadas exceto você em 10.,除自己外的所有友方单位最大生命值增加10。,除自己外的所有友方單位最大生命值增加10。,Verhoog max HP van alle bondgenoten behalve jezelf met 10.,Pliigu maksimuman HP de ĉiuj aliancanoj krom vi mem per 10.,Lisää kaikkien liittolaisyksiköiden maksimi HP:tä 10:llä itseäsi lukuun ottamatta.,Augmente les PV max de toutes les unités alliées sauf toi de 10.,Erhöht die max LP aller verbündeten Einheiten außer dir um 10.,Tambah HP maks semua unit sekutu kecuali diri sendiri sebesar 10.,Aumenta i PV massimi di tutte le unità alleate tranne te di 10.,自身を除くすべての味方ユニットの体力を10増加させる。,자신을 제외한 모든 아군 유닛의 체력을 10 증가시킵니다.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.,Increase max HP of all allied units except yourself by 10.


lang_en,언어 이름 - en,English,Inglês,英语,英語,Engels,Angla,Englanti,Anglais,Englisch,Inggris,Inglese,英語,영어,Angielski,Английский,Енглески,Engleski,Inglés,ภาษาอังกฤษ,İngilizce,Англійська,Tiếng Anh
lang_pt_BR,언어 이름 - pt_BR,Portuguese (BR),Português (BR),葡萄牙语(巴西),葡萄牙語(巴西),Portugees (BR),Portugala (BR),Portugali (BR),Portugais (BR),Portugiesisch (BR),Portugis (BR),Portoghese (BR),ポルトガル語(BR),포르투갈어(BR),Portugalski (BR),Португальский (BR),Португалски (BR),Portugalski (BR),Portugués (BR),โปรตุเกส (BR),Portekizce (BR),Португальська (BR),Bồ Đào Nha (BR)
lang_zh_CN,언어 이름 - zh_CN,Chinese (Simplified),Chinês (Simplificado),中文(简体),中文(簡體),Chinees (Vereenvoudigd),Ĉina (Simpligita),Kiina (Yksinkertaistettu),Chinois (Simplifié),Chinesisch (Vereinfacht),Tionghoa (Sederhana),Cinese (Semplificato),中国語(簡体),중국어(간체),Chiński (Uproszczony),Китайский (Упрощённый),Кинески (Поједностављени),Kineski (Pojednostavljeni),Chino (Simplificado),จีน (ตัวย่อ),Çince (Basitleştirilmiş),Китайська (Спрощена),Trung (Giản thể)
lang_zh_TW,언어 이름 - zh_TW,Chinese (Traditional),Chinês (Tradicional),中文(繁体),中文(繁體),Chinees (Traditioneel),Ĉina (Tradicia),Kiina (Perinteinen),Chinois (Traditionnel),Chinesisch (Traditionell),Tionghoa (Tradisional),Cinese (Tradizionale),中国語(繁体),중국어(번체),Chiński (Tradycyjny),Китайский (Традиционный),Кинески (Традиционални),Kineski (Tradicionalni),Chino (Tradicional),จีน (ดั้งเดิม),Çince (Geleneksel),Китайська (Традиційна),Trung (Phồn thể)
lang_nl,언어 이름 - nl,Dutch,Holandês,荷兰语,荷蘭語,Nederlands,Nederlanda,Hollanti,Néerlandais,Niederländisch,Belanda,Olandese,オランダ語,네덜란드어,Niderlandzki,Нидерландский,Холандски,Holandski,Neerlandés,ดัตช์,Felemenkçe,Нідерландська,Tiếng Hà Lan
lang_eo,언어 이름 - eo,Esperanto,Esperanto,世界语,世界語,Esperanto,Esperanto,Esperanto,Espéranto,Esperanto,Esperanto,Esperanto,エスペラント,에스페란토,Esperanto,Эсперанто,Есперанто,Esperanto,Esperanto,เอสเปรันโต,Esperanto,Есперанто,Esperanto
lang_fi,언어 이름 - fi,Finnish,Finlandês,芬兰语,芬蘭語,Fins,Finna,Suomi,Finnois,Finnisch,Finlandia,Finlandese,フィンランド語,핀란드어,Fiński,Финский,Фински,Finski,Finés,ฟินแลนด์,Fince,Фінська,Tiếng Phần Lan
lang_fr,언어 이름 - fr,French,Francês,法语,法語,Frans,Franca,Ranska,Français,Französisch,Prancis,Francese,フランス語,프랑스어,Francuski,Французский,Француски,Francuski,Francés,ฝรั่งเศส,Fransızca,Французька,Tiếng Pháp
lang_de,언어 이름 - de,German,Alemão,德语,德語,Duits,Germana,Saksa,Allemand,Deutsch,Jerman,Tedesco,ドイツ語,독일어,Niemiecki,Немецкий,Немачки,Nemački,Alemán,เยอรมัน,Almanca,Німецька,Tiếng Đức
lang_id,언어 이름 - id,Indonesian,Indonésio,印尼语,印尼語,Indonesisch,Indonezia,Indonesia,Indonésien,Indonesisch,Bahasa Indonesia,Indonesiano,インドネシア語,인도네시아어,Indonezyjski,Индонезийский,Индонежански,Indonežanski,Indonesio,อินโดนีเซีย,Endonezce,Індонезійська,Tiếng Indonesia
lang_it,언어 이름 - it,Italian,Italiano,意大利语,義大利語,Italiaans,Itala,Italia,Italien,Italienisch,Italia,Italiano,イタリア語,이탈리아어,Włoski,Итальянский,Италијански,Italijanski,Italiano,อิตาลี,İtalyanca,Італійська,Tiếng Ý
lang_ja,언어 이름 - ja,Japanese,Japonês,日语,日語,Japans,Japana,Japani,Japonais,Japanisch,Jepang,Giapponese,日本語,일본어,Japoński,Японский,Јапански,Japanski,Japonés,ญี่ปุ่น,Japonca,Японська,Tiếng Nhật
lang_ko,언어 이름 - ko,Korean,Coreano,韩语,韓語,Koreaans,Korea,Korea,Coréen,Koreanisch,Korea,Coreano,韓国語,한국어,Koreański,Корейский,Корејски,Korejski,Coreano,เกาหลี,Korece,Корейська,Tiếng Hàn
lang_pl,언어 이름 - pl,Polish,Polonês,波兰语,波蘭語,Pools,Pola,Puola,Polonais,Polnisch,Polandia,Polacco,ポーランド語,폴란드어,Polski,Польский,Пољски,Poljski,Polaco,โปแลนด์,Lehçe,Польська,Tiếng Ba Lan
lang_ru,언어 이름 - ru,Russian,Russo,俄语,俄語,Russisch,Rusa,Venäjä,Russe,Russisch,Rusia,Russo,ロシア語,러시아어,Rosyjski,Русский,Руски,Ruski,Ruso,รัสเซีย,Rusça,Російська,Tiếng Nga
lang_sr,언어 이름 - sr,Serbian (Cyrillic),Sérvio (Cirílico),塞尔维亚语(西里尔),塞爾維亞語(西里爾),Servisch (Cyrillisch),Serba (Cirila),Serbia (Kyrillinen),Serbe (Cyrillique),Serbisch (Kyrillisch),Serbia (Sirilik),Serbo (Cirillico),セルビア語(キリル),세르비아어(키릴),Serbski (Cyrylica),Сербский (Кириллица),Српски (ћирилица),Srpski (ćirilica),Serbio (Cirílico),เซอร์เบีย (ซีริลลิก),Sırpça (Kiril),Сербська (Кирилиця),Tiếng Serbia (Kirin)
lang_sr_Latn,언어 이름 - sr_Latn,Serbian (Latin),Sérvio (Latino),塞尔维亚语(拉丁),塞爾維亞語(拉丁),Servisch (Latijns),Serba (Latina),Serbia (Latina),Serbe (Latin),Serbisch (Latein),Serbia (Latin),Serbo (Latino),セルビア語(ラテン),세르비아어(라틴),Serbski (Łaciński),Сербский (Латиница),Српски (латиница),Srpski (latinica),Serbio (Latino),เซอร์เบีย (ละติน),Sırpça (Latin),Сербська (Латиниця),Tiếng Serbia (Latin)
lang_es,언어 이름 - es,Spanish,Espanhol,西班牙语,西班牙語,Spaans,Hispana,Espanja,Espagnol,Spanisch,Spanyol,Spagnolo,スペイン語,스페인어,Hiszpański,Испанский,Шпански,Španski,Español,สเปน,İspanyolca,Іспанська,Tiếng Tây Ban Nha
lang_th,언어 이름 - th,Thai,Tailandês,泰语,泰語,Thai,Tajlanda,Thai,Thaï,Thailändisch,Thailand,Tailandese,タイ語,태국어,Tajski,Тайский,Тајландски,Tajlandski,Tailandés,ภาษาไทย,Tayca,Тайська,Tiếng Thái
lang_tr,언어 이름 - tr,Turkish,Turco,土耳其语,土耳其語,Turks,Turka,Turkki,Turc,Türkisch,Turki,Turco,トルコ語,터키어,Turecki,Турецкий,Турски,Turski,Turco,ตุรกี,Türkçe,Турецька,Tiếng Thổ Nhĩ Kỳ
lang_uk,언어 이름 - uk,Ukrainian,Ucraniano,乌克兰语,烏克蘭語,Oekraïens,Ukraina,Ukraina,Ukrainien,Ukrainisch,Ukraina,Ucraino,ウクライナ語,우크라이나어,Ukraiński,Украинский,Украјински,Ukrajinski,Ucraniano,ยูเครน,Ukraynaca,Українська,Tiếng Ukraina
lang_vi,언어 이름 - vi,Vietnamese,Vietnamita,越南语,越南語,Vietnamees,Vjetnama,Vietnam,Vietnamien,Vietnamesisch,Vietnam,Vietnamita,ベトナム語,베트남어,Wietnamski,Вьетнамский,Вијетнамски,Vijetnamski,Vietnamita,เวียดนาม,Vietnamca,В'єтнамська,Tiếng Việt
start_name,시작 노드 - 이름,Start,Início,起点,起點,Start,Komenco,Aloitus,Départ,Start,Mulai,Inizio,スタート,시작,Start,Старт,Старт,Start,Inicio,เริ่ม,Başlangıç,Старт,Bắt đầu
start_desc,시작 노드 - 설명,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.,여정이 시작됬습니다! 맵 이동 카드를 사용하여 다른 장소로 이동할수 있습니다.
shop_name,상점 노드 - 이름,Shop,Loja,商店,商店,Winkel,Butiko,Kauppa,Boutique,Laden,Toko,Negozio,商店,상점,Sklep,Магазин,Продавница,Prodavnica,Tienda,ร้านค้า,Dükkan,Магазин,Cửa hàng
shop_desc,상점 노드 - 설명,"카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다.","카드, 유물, 물약을 판매하는 장소입니다."
rest_name,휴식 노드 - 이름,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식,휴식
rest_desc,휴식 노드 - 설명,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.,체력을 회복하거나 카드를 강화할수 있는 장소입니다.
treasure_name,보물 노드 - 이름,Treasure,Tesouro,宝藏,寶藏,Schat,Trezoro,Aarre,Trésor,Schatz,Harta Karun,Tesoro,宝箱,보물,Skarb,Сокровище,Благо,Blago,Tesoro,สมบัติ,Hazine,Скарб,Kho báu
treasure_desc,보물 노드 - 설명,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!,골드와 유물을 획득합니다!
victory_name,승리 노드 - 이름,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!,승리!
victory_desc,승리 노드 - 설명,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.,보상을 받습니다.
defeat_name,패배 노드 - 이름,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!,패배!
defeat_desc,패배 노드 - 설명,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.,당신은 {0}에게 공격당하여 사망햇습니다. 전투를 재시작하거나 메인메뉴로 돌아갈수있습니다.
shop_view_item_relic,상점 - 아이템/유물 페이지 전환 버튼,View Items & Relics,Ver Itens e Relíquias,查看物品和遗物,查看物品和遺物,Items & Relikwieën Bekijken,Vidi Aĵojn kaj Relikvojn,Näytä Esineet ja Reliikit,Voir Objets et Reliques,Gegenstände & Relikte ansehen,Lihat Item & Relik,Vedi Oggetti e Reliquie,アイテムと遺物を見る,"아이템,유물 보기",Pokaż Przedmioty i Relikty,Показать предметы и реликвии,Прикажи предмете и реликвије,Prikaži predmete i relikvije,Ver Objetos y Reliquias,ดูไอเทมและวัตถุโบราณ,Eşyaları ve Kalıntıları Gör,Переглянути предмети та реліквії,Xem Vật phẩm và Di vật
shop_view_card,상점 - 카드 페이지 전환 버튼,View Cards,Ver Cartas,查看卡牌,查看卡牌,Kaarten Bekijken,Vidi Kartojn,Näytä Kortit,Voir Cartes,Karten ansehen,Lihat Kartu,Vedi Carte,カードを見る,카드 보기,Pokaż Karty,Показать карты,Прикажи карте,Prikaži karte,Ver Cartas,ดูการ์ด,Kartları Gör,Переглянути карти,Xem Lá bài
sort_rarity,정렬 - 희귀도순,Rarity,Raridade,稀有度,稀有度,Zeldzaamheid,Mallofteco,Harvinaisuus,Rareté,Seltenheit,Kelangkaan,Rarità,レア度順,희귀도순,Rzadkość,Редкость,Реткост,Retkost,Rareza,ความหายาก,Nadirlik,Рідкість,Hiếm
sort_acquired,정렬 - 획득순,Acquired,Adquirido,获得顺序,獲得順序,Verworven,Akirita,Hankittu,Acquis,Erworben,Diperoleh,Acquisito,獲得順,획득순,Zdobyte,Получено,Стечено,Stečeno,Adquirido,ได้รับ,Edinilen,Отримано,Đã có
sort_type,정렬 - 타입순,Type,Tipo,类型,類型,Type,Tipo,Tyyppi,Type,Typ,Tipe,Tipo,タイプ順,타입순,Typ,Тип,Тип,Tip,Tipo,ประเภท,Tip,Тип,Loại
sort_name,정렬 - 이름순,Name,Nome,名称,名稱,Naam,Nomo,Nimi,Nom,Name,Nama,Nome,名前順,이름순,Nazwa,Имя,Име,Ime,Nombre,ชื่อ,İsim,Ім'я,Tên
dictionary_misc,도감 - 기타(공통 카드 + 80001) 필터 버튼,Misc,Diversos,其他,其他,Diverse,Diversaj,Muut,Divers,Sonstiges,Lain-lain,Vari,その他,기타,Różne,Разное,Разно,Razno,Varios,อื่นๆ,Çeşitli,Інше,Khác
rangeinfo_player_move,사거리 보기 패널 - 좌클릭 안내,Left Click: Move Player,Clique Esquerdo: Mover Jogador,左键：移动玩家,左鍵：移動玩家,Linkermuisknop: Speler Verplaatsen,Maldekstra Klako: Movi Ludanton,Vasen Klikkaus: Siirrä Pelaajaa,Clic Gauche : Déplacer le Joueur,Linksklick: Spieler Bewegen,Klik Kiri: Pindahkan Pemain,Click Sinistro: Sposta Giocatore,左クリック：プレイヤー移動,좌클릭: 플레이어 위치 이동,LPM: Przesuń Gracza,ЛКМ: Переместить игрока,Леви клик: Помери играча,Levi klik: Pomeri igrača,Clic Izquierdo: Mover Jugador,คลิกซ้าย: ย้ายผู้เล่น,Sol Tık: Oyuncuyu Hareket Ettir,ЛКМ: Перемістити гравця,Chuột Trái: Di chuyển Người chơi
